,German,English
138,kommen, come
139,dein, your
140,heute, today
141,kommt, comes
142,wollen, want
143,damit, in order to
144,ganz, quite
145,w?re, were
146,wollte, wanted to
147,wei?t, whisper
148,ok, OK
149,sicher, for sure
150,gesagt, said
151,frau, Mrs
152,nun, well
153,bis, until
154,wurde, became
155,leid, suffering
156,na, n / A
157,kannst, can
158,macht, power
159,dieser, this
160,zur?ck, return
161,lassen, permit
162,hallo, Hello
163,meinen, say
164,gott, God
165,seine, his
166,h?tte, would have
167,zwei, two
168,k?nnte, could
169,genau, precisely
170,waren, was
171,zur, to the
172,lass, let
173,klar, clear
174,morgen, morning
175,leute, people
176,vater, father
177,sch?n, Nice
178,glaube, faith
179,mr., mr.
180,ab, away
181,gerade, just
182,tag, Day
183,gesehen, seen
184,reden, talk
185,wohl, well
186,liebe, love
187,sollte, should
188,sagte, said
189,unsere, our
190,jemand, someone
191,geld, money
192,durch, by
193,ob, if
194,keinen, none
195,mutter, mother
196,raus, Out
197,gemacht, made
198,paar, pair
199,mach, make up
200,passiert, happened
201,dachte, thought
202,besser, better
203,musst, must
204,wieso, how come
205,sir, sir
206,dieses, this
207,selbst, self
208,geh?rt, heard
209,m?chte, would like to
210,ohne, without
211,h?r, hear
212,her, on
213,sag, say
214,meiner, mine
215,anderen, others
216,helfen, help
217,nacht, night
218,finden, Find
219,diesen, this
220,gute, quality
221,wirst, become
222,lange, Long
223,nat?rlich, Naturally
224,ach, Oh
225,meinem, my
226,gar, at all
227,ins, into the
228,sei, may be
229,dort, there
230,weiter, Further
231,geben, give
232,seit, since
233,gleich, same
234,sagt, says
235,recht, Law
236,ihren, their
237,richtig, correct
238,ordnung, order
239,vom, from the
240,h?ren, hear
241,sieht, sees
242,davon, of that
243,daf?r, Therefore
244,geh, go
245,diesem, This
246,wegen, because
247,hause, home
248,sollten, should
249,m?dchen, girl
250,hin, there
251,sollen, should
252,abend, evening
253,haus, House
254,denke, think
255,viele, many
256,drei, three
257,deinen, yours
258,freund, friend
259,guten, good
260,unser, our
261,warte, wait
262,machst, make
263,menschen, people
264,essen, eat
265,angst, anxiety
266,bleiben, stay
267,zusammen, together
268,welt, world
269,unter, under
270,habt, have
271,schnell, fast
272,andere, other
273,tot, dead
274,getan, did
275,darf, allowed
276,erst, first
277,rein, pure
278,stimmt, Right
279,nehmen, to take
280,kinder, children
281,eines, one
282,glauben, believe
283,bringen, bring
284,ganze, whole
285,genug, enough
286,schei?e, crap
287,brauchen, to need
288,gegen, against
289,moment, moment
290,junge, Boy
291,steht, stands
292,sonst, otherwise
293,musik, music
294,arbeit, job
295,seid, are
296,ihrer, of their
297,fragen, ask
298,herr, Mr
299,dabei, included
300,hei?t, called
301,familie, family
302,warten, wait
303,niemand, nobody
304,sofort, immediately
305,bevor, before
306,jahre, years
307,einmal, once
308,problem, problem
309,sohn, son
310,wann, when
311,brauche, need
312,fertig, done
313,halt, stop
314,allein, alone
315,beim, at the
316,sprechen, speak
317,beide, both
318,gefunden, found
319,hatten, had
320,sache, Thing
321,hilfe, help
322,verdammt, Damn it
323,ne, ne
324,jeder, everyone
325,warst, wicked
326,gern, gladly
327,konnte, could
328,dar?ber, about that
329,halten, keep
330,siehst, see
331,verstehe, understand
332,jahren, Years
333,kam, came
334,kind, child
335,wusste, knew
336,wahr, true
337,seinen, his
338,dazu, to
339,bruder, brothers
340,daran, to it
341,ihrem, Yours
342,denken, think
343,k?nnten, could
344,dank, thanks to
345,w?rden, would
346,lieber, rather
347,fall, case
348,deiner, yours
349,sehe, see
350,egal, no matter
351,kennen, know
352,deinem, your
353,vergessen, forget
354,frage, question
355,mache, make
356,komme, come
357,sage, legend
358,mag, like
359,sieh, look
360,echt, real
361,gib, give
362,eigentlich, actually
363,jeden, every
364,dad, dad
365,gab, gave
366,uhr, clock
367,stadt, city
368,m?nner, men
369,baby, infant
370,fahren, travel
371,namen, name
372,bekommen, receive
373,kopf, head
374,hi, Hi
375,gehe, go
376,kleine, small
377,sp?ter, later
378,gl?ck, happiness
379,letzte, last
380,freunde, friends
381,n, n
382,all, Alles
383,darauf, thereon
384,ende, end
385,dr., Dr.
386,bald, soon
387,t?ten, kill
388,dinge, things
389,meinst, mean
390,toll, Great
391,eins, one
392,minuten, minute
393,vielen, many
394,bereit, ready
395,weit, far
396,ahnung, idea
397,seiner, his
398,bisschen, little
399,t?r, door
400,auto, automobile
401,jungs, guys
402,eure, your
403,augen, eyes
404,polizei, police
405,stehen, stand
406,sterben, die
407,h?tten, have
408,drau?en, outdoors
409,kenne, know
410,fast, nearly
411,runter, down
412,vorbei, past
413,treffen, meet
414,gerne, gladly
415,dran, your turn
416,wurden, became
417,arbeiten, work
418,mom, Mom
419,verr?ckt, crazy
420,neue, new
421,ging, went
422,hinter, Behind
423,sorgen, care for
424,einzige, only one
425,jemanden, someone
426,darum, therefore
427,tochter, daughter
428,braucht, needs
429,idee, idea
430,schwester, sister
431,drin, in it
432,ruhig, quiet
433,sah, saw
434,ganzen, entire
435,spat, late
436,ziemlich, quite
437,solltest, ward
438,name, Surname
439,sogar, even
440,kurz, short
441,kerl, Guy
442,frauen, women
443,liegt, lies
444,suchen, Looking for
445,finde, find
446,je, ever
447,woher, where
448,lang, long
449,job, job
450,keiner, none
451,seinem, his
452,hort, hearing
453,verstehen, to understand
454,spielen, to play
455,uberhaupt, at all
456,teufel, Devil
457,verstanden, Understood
458,verloren, lost
459,grosse, size
460,hand, hand
461,grund, reason
462,jahr, year
463,kommst, come
464,mama, mummy
465,ruhe, Quiet
466,gewesen, been
467,tod, death
468,stunden, hours
469,hoffe, hope
470,denkst, think
471,oben, above
472,gestern, yesterday
473,versuchen, try
474,art, kind
475,letzten, last
476,schatz, sweetheart
477,endlich, at last
478,he, head
479,nimm, take
480,etwa, approximately
481,erzahlt, told
482,lauft, runs
483,schwer, heavy
484,anders, different
485,miss, miss
486,musste, had to
487,funf, five
488,wasser, water
489,l?sst, leaves
490,erste, first
491,versucht, tries
492,gekommen, came
493,geschichte, story
494,wenig, little
495,holen, to fetch
496,bedeutet, means
497,nett, kind
