German,English
auto, automobile
jungs, guys
eure, your
augen, eyes
polizei, police
stehen, stand
sterben, die
h?tten, have
drau?en, outdoors
kenne, know
fast, nearly
runter, down
vorbei, past
treffen, meet
gerne, gladly
dran, your turn
wurden, became
arbeiten, work
mom, Mom
verr?ckt, crazy
neue, new
ging, went
hinter, Behind
sorgen, care for
einzige, only one
jemanden, someone
darum, therefore
tochter, daughter
braucht, needs
idee, idea
schwester, sister
drin, in it
ruhig, quiet
sah, saw
ganzen, entire
spat, late
ziemlich, quite
solltest, ward
name, Surname
sogar, even
kurz, short
kerl, Guy
frauen, women
liegt, lies
suchen, Looking for
finde, find
je, ever
woher, where
lang, long
job, job
keiner, none
seinem, his
hort, hearing
verstehen, to understand
spielen, to play
uberhaupt, at all
teufel, Devil
verstanden, Understood
verloren, lost
grosse, size
hand, hand
grund, reason
jahr, year
kommst, come
mama, mummy
ruhe, Quiet
gewesen, been
tod, death
stunden, hours
hoffe, hope
denkst, think
oben, above
gestern, yesterday
versuchen, try
art, kind
letzten, last
schatz, sweetheart
endlich, at last
he, head
nimm, take
etwa, approximately
erzahlt, told
lauft, runs
schwer, heavy
anders, different
miss, miss
musste, had to
funf, five
wasser, water
l?sst, leaves
erste, first
versucht, tries
gekommen, came
geschichte, story
wenig, little
holen, to fetch
bedeutet, means
nett, kind
